,Anzahl Unterkünfte insgesamt,Land,Link zu den Unterkünften,Link zum Land
10," 25.137
",Thailand,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIo3QE4IEgHWARoLIgBAZgBB7gBB8gBDNgBA-gBAfgBAogCAagCAw&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fth.de.html%3Flabel%3Dgen173nr-1DCAIo3QE4IEgHWARoLIgBAZgBB7gBB8gBDNgBA-gBAfgBAogCAagCAw%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=209&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/th.de.html
11," 13.684
",Sri Lanka,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIohQFCAmxrSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Flk.de.html%3Flabel%3Dgen173nr-1DCAIohQFCAmxrSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=198&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/lk.de.html
12," 17.264
",Dänemark,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoPUICZGtIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fdk.de.html%3Flabel%3Dgen173nr-1DCAIoPUICZGtIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=57&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/dk.de.html
13," 28
",Monaco,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIojQFCAm1jSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fmc.de.html%3Flabel%3Dgen173nr-1DCAIojQFCAm1jSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=140&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/mc.de.html
14," 557
",Seychellen,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoxgFCAnNjSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fsc.de.html%3Flabel%3Dgen173nr-1DCAIoxgFCAnNjSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=188&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/sc.de.html
15," 5.440
",Zypern,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoOUICY3lIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fcy.de.html%3Flabel%3Dgen173nr-1DCAIoOUICY3lIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=55&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/cy.de.html
16," 112.213
",Frankreich,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoTTgBSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Ffr.de.html%3Flabel%3Dgen173nr-1DCAIoTTgBSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=73&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/fr.de.html
17," 13.736
",Tschechische Republik (Tschechien),https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoOkICY3pIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fcz.de.html%3Flabel%3Dgen173nr-1DCAIoOkICY3pIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=56&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/cz.de.html
18," 36.467
",Polen,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIotgE4C0gHWARoLIgBAZgBB7gBB8gBDNgBA-gBAfgBAogCAagCAw&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fpl.de.html%3Flabel%3Dgen173nr-1DCAIotgE4C0gHWARoLIgBAZgBB7gBB8gBDNgBA-gBAfgBAogCAagCAw%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=170&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/pl.de.html
19," 4.717
",Costa Rica,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoM0ICY3JIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fcr.de.html%3Flabel%3Dgen173nr-1DCAIoM0ICY3JIB1gEaCyIAQGYAQe4AQfIAQzYAQPoAQH4AQKIAgGoAgM%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=52&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/cr.de.html
