,Kanton,Link zur Unterkunft,Name der Unterkunft
49,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/beaurivagepalace.de.html,Beau-Rivage Palace
50,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/aquatis.de.html,Aquatis Hotel
51,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-de-la-croix-blanche-lavigny.de.html,Auberge de La Croix Blanche
52,"
""Waadt, Switzerland""",www.booking.com/hotel/chwww.booking.com/hotelfamille.de.html,VISIONAPARTMENTS Hôtel de FamilleDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
53,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/restaurant-du-chateau.de.html,Hotel Restaurant du Chateau
54,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-communale-chez-yann.de.html,Auberge Communale Chez Yann
55,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-de-ballens.de.html,Auberge de Ballens
56,"
""Waadt, Switzerland""",www.booking.com/hotel/chwww.booking.com/hotel-au-fil-de-leau.de.html,ErmitageDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
57,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-aux-deux-sapins.de.html,Auberge Aux Deux Sapins
58,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/restaurant-le-rivage.de.html,Hotel Lake View Le Rivage
59,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-du-lion-d-39-or.de.html,Auberge du Lion D'or
60,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/eh-toi-self-motel.de.html,Eh!Toi Self Motel
61,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-des-grands-bois.de.html,Auberge des Grands Bois
62,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-de-la-gare.de.html,Auberge de la Gare
63,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/village-club-de-bois-d-39-amont.de.html,Village club de Bois d'AmontDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
64,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-du-raisin.de.html,Auberge du Raisin
65,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/au-major-davel.de.html,Au Major Davel
66,"
""Waadt, Switzerland""",www.booking.com/hotel/chwww.booking.com/hotel-lavaux.de.html,Hotel Lavaux
67,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/restaurant-au-chasseur.de.html,Hotel Restaurant Au Chasseur
68,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/le-littoral.de.html,Hotel Le Littoral
69,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/savoy-evian.de.html,Savoy Hôtel Evian
